,index,niveau,niveaunaam,gebiedcodenaam,wijkcode,jaar,Woonoppervlak_0_40,Woonoppervlak_40_60,Woonoppervlak_60_80,Woonoppervlak_80_100,Woonoppervlak_100_plus,Woonoppervlak_onbekend,VCRIMIN_I,Culturele_voorzieningen,Aanbod_basisscholen,Woningdichtheid,Eenouder_huishouden,Eenpersoons_huishouden,Stel_zonder_kind_huishouden,Stel_met_kind_huishouden,overige_huishouden,Corporatiewoningen,Particuliere_huur,Koopwoninging,WOZ_per_M2,index,wijkcode,lon,lat
86,4304,4,Wijk,SA Driemond,SA,2021,"0,9","8,3","44,1","27,1","19,5","0,1",,3,8,392.0,"10,3","28,6","28,4","32,7",0,"37,8","5,3",60,3737.0,64,SA,5.0088323,52.31348545
87,4305,4,Wijk,TA Amstel III/Bullewijk,TA,2021,"89,4","6,8",1,"0,3","2,3","0,3",,,,82.0,"0,3","92,1","6,7","0,6","0,4",,"98,5",,4165.0,103,TA,4.9505866,52.29875535
88,4306,4,Wijk,TB Venserpolder,TB,2021,"11,2","31,2","36,2","13,8","7,6",0,,"5,5","6,7",5939.0,"13,9","60,3","14,6","9,7","1,5","60,6","14,2","25,2",3469.0,7,TB,4.94524345,52.3215816
89,4308,4,Wijk,TD H-buurt,TD,2021,"14,7","8,6","26,1","42,5","7,9","0,2",,"6,3","7,2",4802.0,"18,8","56,1","13,1","10,4","1,6","66,9","23,4","9,7",3138.0,76,TD,4.95644015,52.3082972
90,4309,4,Wijk,TE Ganzenhoef e.o.,TE,2021,"6,9","13,8",7,"34,5","37,7","0,1",,"5,9",7,3957.0,"17,7",48,"14,1","18,4","1,7","51,3","20,4","28,3",3121.0,77,TE,4.9672283,52.322178
91,4310,4,Wijk,TF Geerdinkhof/Kantershof,TF,2021,"0,2","14,9","22,4","23,5","38,7","0,3",,"5,7","7,7",2306.0,"8,8","53,7","20,6","15,5","1,4","29,8","13,4","56,8",2979.0,78,TF,4.98368765,52.32263805
92,4313,4,Wijk,TJ Holendrecht,TJ,2021,"0,6","13,4","26,3","45,8","13,1","0,8",,"5,9","7,6",3225.0,"22,4","45,8",15,"15,8",1,"75,4","5,4","19,1",3010.0,81,TJ,4.9670607,52.30116005
93,4314,4,Wijk,TK Nellestein,TK,2021,0,"8,8","43,6",35,"11,9","0,7",,"4,2","7,6",784.0,"9,3","55,9","22,8","11,3","0,8","18,9","39,3","40,5",2978.0,82,TK,4.99284355,52.3095795
94,4315,4,Wijk,TL Reigersbos,TL,2021,"4,9","15,3","35,4","32,4","11,7","0,3",,"5,4","7,5",3228.0,"14,7",52,"16,9","15,2","1,2","55,7","10,1","34,3",3179.0,83,TL,4.9726632,52.2929851
95,4316,4,Wijk,TM Gein,TM,2021,"6,2",11,"43,4",31,"8,4",0,,"5,4","7,7",2827.0,"15,8","44,7",20,"18,4","1,1","45,2","14,6","40,2",3123.0,84,TM,4.9939257,52.295524
